Distribución de personajes en la imagen,Estereotipos/Atributos de Género diferenciados,SUM de 1º ESO_SM,SUM de 1º ESO_Santillana,SUM de 1º ESO_VV,SUM de 2º ESO_SM,SUM de 2º ESO_Santillana,SUM de 2º ESO_VV
Colectivo de hombres (3 o más hombres),Decidido/a,1,3,1,,,
Colectivo de hombres (3 o más hombres),Dirigente,1,1,8,,,
Colectivo de hombres (3 o más hombres),Dócil,3,0,3,,,
Colectivo de hombres (3 o más hombres),Dominante,4,0,3,,,
Colectivo de hombres (3 o más hombres),Educado/a,5,0,4,,,
Colectivo de hombres (3 o más hombres),Emotivo/a,0,0,1,,,
Colectivo de hombres (3 o más hombres),Fuerte,20,26,13,,,
Colectivo de hombres (3 o más hombres),Independiente,1,2,0,,,
Colectivo de hombres (3 o más hombres),Indeterminado,2,4,11,,,
Colectivo de hombres (3 o más hombres),Intelectual,20,17,12,,,
Colectivo de hombres (3 o más hombres),Intrépido/a,1,0,2,,,
Colectivo de hombres (3 o más hombres),Libre,3,3,7,,,
Colectivo de hombres (3 o más hombres),Líder,7,2,21,,,
Colectivo de hombres (3 o más hombres),No disponible,0,0,1,,,
Colectivo de hombres (3 o más hombres),Pasivo/a,1,0,0,,,
Colectivo de hombres (3 o más hombres),Poderoso/a,2,0,6,,,
Colectivo de hombres (3 o más hombres),Profesional,2,0,0,,,
Colectivo de hombres (3 o más hombres),Prudente,0,0,2,,,
Colectivo de hombres (3 o más hombres),Religioso/a,18,17,17,,,
Colectivo de hombres (3 o más hombres),Resolutivo/a,1,1,0,,,
Colectivo de hombres (3 o más hombres),Sumiso/a,7,0,0,,,
Colectivo de hombres (3 o más hombres),Temerario/a,2,0,0,,,
Colectivo de hombres (3 o más hombres),Tenaz,1,0,0,,,
Colectivo de hombres (3 o más hombres),Trabajador/a,9,9,10,,,
Colectivo de hombres (3 o más hombres),Valiente,15,18,10,,,
Colectivo de hombres (3 o más hombres),Viril,1,2,2,,,
Colectivo de mujeres (3 o más mujeres),Afectivo/a,0,0,1,,,
Colectivo de mujeres (3 o más mujeres),Débil,0,0,1,,,
Colectivo de mujeres (3 o más mujeres),Dócil,0,0,1,,,
Colectivo de mujeres (3 o más mujeres),Indeterminado,1,0,0,,,
Colectivo de mujeres (3 o más mujeres),Religioso/a,0,1,0,,,
Colectivo de mujeres (3 o más mujeres),Sensible,0,0,1,,,
Colectivo de mujeres (3 o más mujeres),Sumiso/a,0,0,1,,,
Colectivo de mujeres (3 o más mujeres),Trabajador/a,0,1,0,,,
Hombres (1 o 2),Activo/a,3,7,6,,,
Hombres (1 o 2),Afectivo/a,0,0,1,,,
Hombres (1 o 2),Agresivo/a,1,0,2,,,
Hombres (1 o 2),Artístico,0,0,1,,,
Hombres (1 o 2),Atlético/a,3,12,5,,,
Hombres (1 o 2),Autoritario/a,1,0,2,,,
Hombres (1 o 2),Competitivo/a,0,0,2,,,
Hombres (1 o 2),Decidido/a,3,4,0,,,
Hombres (1 o 2),Delicado/a,0,1,0,,,
Hombres (1 o 2),Dirigente,1,4,2,,,
Hombres (1 o 2),Dócil,1,1,0,,,
Hombres (1 o 2),Dominante,6,1,2,,,
Hombres (1 o 2),Dotado/a de hermosura,4,2,1,,,
Hombres (1 o 2),Educado/a,9,8,5,,,
Hombres (1 o 2),Fuerte,18,19,8,,,
Hombres (1 o 2),Independiente,6,4,0,,,
Hombres (1 o 2),Indeterminado,3,4,3,,,
Hombres (1 o 2),Intelectual,27,16,13,,,
Hombres (1 o 2),Intrépido/a,1,2,3,,,
Hombres (1 o 2),Libre,6,5,3,,,
Hombres (1 o 2),Líder,7,11,10,,,
Hombres (1 o 2),No disponible,0,0,1,,,
Hombres (1 o 2),Poderoso/a,1,1,5,,,
Hombres (1 o 2),Profesional,1,0,0,,,
